1305 東証ETF ダイワ 上場投信-トピックス（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1527","1539","1517","1539","264920","1539"
"2019-01-07","1590","1593","1581","1582","196290","1582"
"2019-01-08","1594","1603","1587","1592","194150","1592"
"2019-01-09","1606","1612","1604","1608","19510","1608"
"2019-01-10","1595","1600","1588","1594","299800","1594"
"2019-01-11","1604","1608","1598","1601","43260","1601"
"2019-01-15","1591","1619","1591","1614","129030","1614"
"2019-01-16","1616","1616","1603","1609","189930","1609"
"2019-01-17","1619","1622","1611","1615","47480","1615"
"2019-01-18","1621","1636","1621","1632","73630","1632"
"2019-01-21","1647","1649","1637","1640","83560","1640"
"2019-01-22","1644","1648","1625","1629","169980","1629"
"2019-01-23","1619","1631","1616","1620","306780","1620"
"2019-01-24","1613","1626","1610","1625","14290","1625"
"2019-01-25","1629","1645","1629","1640","22300","1640"
"2019-01-28","1639","1639","1627","1628","57270","1628"
"2019-01-29","1622","1632","1616","1630","124660","1630"
"2019-01-30","1634","1634","1624","1625","14520","1625"
"2019-01-31","1649","1650","1637","1641","37240","1641"
"2019-02-01","1640","1651","1637","1639","66740","1639"
"2019-02-04","1643","1659","1643","1656","20100","1656"
"2019-02-05","1665","1665","1655","1657","180070","1657"
"2019-02-06","1664","1667","1655","1657","249360","1657"
"2019-02-07","1654","1654","1637","1644","71610","1644"
"2019-02-08","1622","1627","1610","1613","152550","1613"
"2019-02-12","1622","1650","1618","1648","281370","1648"
"2019-02-13","1659","1667","1654","1666","117910","1666"
"2019-02-14","1666","1672","1663","1665","40820","1665"
"2019-02-15","1654","1654","1643","1652","27030","1652"
"2019-02-18","1680","1680","1672","1680","319970","1680"
"2019-02-19","1675","1684","1675","1682","291520","1682"
"2019-02-20","1686","1693","1683","1690","66010","1690"
"2019-02-21","1690","1696","1682","1689","39620","1689"
"2019-02-22","1682","1686","1681","1685","15050","1685"
"2019-02-25","1695","1700","1693","1700","334820","1700"
"2019-02-26","1701","1701","1690","1694","63230","1694"
"2019-02-27","1696","1701","1696","1699","21500","1699"
"2019-02-28","1695","1695","1682","1682","55200","1682"
"2019-03-01","1690","1696","1689","1694","8260","1694"
"2019-03-04","1707","1708","1700","1707","188970","1707"
"2019-03-05","1697","1700","1691","1696","1475770","1696"
"2019-03-06","1695","1695","1690","1694","98530","1694"
"2019-03-07","1681","1683","1674","1678","28710","1678"
"2019-03-08","1667","1669","1645","1647","315270","1647"
"2019-03-11","1650","1659","1647","1657","738370","1657"
"2019-03-12","1675","1691","1673","1682","530690","1682"
"2019-03-13","1677","1681","1661","1668","237670","1668"
"2019-03-14","1680","1683","1664","1664","118160","1664"
"2019-03-15","1671","1685","1671","1681","34290","1681"
"2019-03-18","1687","1692","1681","1690","19680","1690"
"2019-03-19","1689","1690","1679","1690","173610","1690"
"2019-03-20","1687","1693","1685","1693","42460","1693"
"2019-03-22","1693","1695","1687","1693","124220","1693"
"2019-03-25","1664","1665","1644","1652","404960","1652"
"2019-03-26","1672","1696","1672","1694","190580","1694"
"2019-03-27","1704","1705","1693","1704","44690","1704"
"2019-03-28","1688","1688","1669","1676","37440","1676"
"2019-03-29","1691","1693","1682","1684","163960","1684"
"2019-04-01","1711","1721","1708","1711","45760","1711"
"2019-04-02","1726","1726","1706","1706","225950","1706"
"2019-04-03","1709","1718","1704","1716","50500","1716"
"2019-04-04","1717","1722","1714","1714","60080","1714"
"2019-04-05","1719","1724","1719","1722","20520","1722"
"2019-04-08","1725","1725","1712","1714","348570","1714"
"2019-04-09","1714","1714","1705","1713","40670","1713"
